run,det,des,keypoints,det_time_ms,des_time_ms,size_mu,size_std,matches
0,BRISK,AKAZE,2757,0.0408696,0.00117348,19.0813,148.973,0
1,BRISK,AKAZE,2777,0.0401122,0.00122147,19.4177,157.857,178
2,BRISK,AKAZE,2741,0.0400951,0.00129677,19.1647,148.535,205
3,BRISK,AKAZE,2735,0.0396133,0.0012367,18.8733,145.275,185
4,BRISK,AKAZE,2757,0.0399945,0.00127158,19.1736,151.133,179
5,BRISK,AKAZE,2695,0.0396356,0.00126057,19.1478,156.156,183
6,BRISK,AKAZE,2715,0.0397426,0.00125062,19.0684,151.423,195
7,BRISK,AKAZE,2628,0.0393347,0.00113361,19.3445,156.293,207
8,BRISK,AKAZE,2639,0.0396191,0.00123711,19.3067,155.883,189
9,BRISK,AKAZE,2672,0.0407963,0.00119925,19.3097,146.893,183
0,BRISK,SIFT,2757,0.0401595,0.00120843,19.0813,148.973,0
1,BRISK,SIFT,2777,0.0399895,0.00129586,19.4177,157.857,178
2,BRISK,SIFT,2741,0.0400968,0.00125703,19.1647,148.535,205
3,BRISK,SIFT,2735,0.0394695,0.00125632,18.8733,145.275,185
4,BRISK,SIFT,2757,0.0400996,0.00136504,19.1736,151.133,179
5,BRISK,SIFT,2695,0.0415576,0.00115043,19.1478,156.156,183
6,BRISK,SIFT,2715,0.0394584,0.0012599,19.0684,151.423,195
7,BRISK,SIFT,2628,0.0409595,0.00118144,19.3445,156.293,207
8,BRISK,SIFT,2639,0.0400292,0.00120943,19.3067,155.883,189
9,BRISK,SIFT,2672,0.0401131,0.00111829,19.3097,146.893,183
0,ORB,BRISK,500,0.0133382,0.00131534,53.9246,546.47,0
1,ORB,BRISK,500,0.00769602,0.00131813,53.9246,546.47,73
2,ORB,BRISK,500,0.00783683,0.00133392,53.9246,546.47,74
3,ORB,BRISK,500,0.0075446,0.00140997,53.9246,546.47,79
4,ORB,BRISK,500,0.00811328,0.00141237,53.9246,546.47,85
5,ORB,BRISK,500,0.00791669,0.00153935,53.9246,546.47,79
